
# --------------- EBHighEtaBad0 ---------------
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 190645 190781 -0.0014 0.0015
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 190782 191042 -0.005 0.0015
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 191043 191720 -0.0003 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 191721 193833 -0.0023 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 193834 194116 -0.0013 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 194117 194427 -0.0013 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 194428 194618 -0.0017 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 194619 194789 -0.002 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 194790 195111 -0.0031 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 195112 195377 -0.0024 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 195378 195398 -0.0013 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 195399 195657 -0.0031 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 195658 195918 -0.0026 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 195919 196198 -0.0019 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 196199 196356 -0.0024 0.0008
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 196357 198115 -0.0018 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 198116 198940 -0.0016 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 198941 199317 -0.0015 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 199318 199428 -0.0021 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 199429 199697 -0.0019 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 199698 199832 -0.0029 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 199833 199960 -0.0018 0.0007
EBHighEtaBad0 0 0 33 1 1.5 -999.00 0.94 199961 200151 -0.0009 0.0008
